Date,value
2023-03-20T07:57:39.899Z,'Temperature = 32.00  Humidity = 56.00 Moisture =-0.10
2023-03-20T07:58:32.791Z,'Temperature = 32.00  Humidity = 56.00 Moisture =40.86
2023-03-20T07:58:33.711Z,'Temperature = 32.00  Humidity = 56.00 Moisture =63.44
2023-03-20T07:58:34.838Z,'Temperature = 32.00  Humidity = 56.00 Moisture =60.80
2023-03-20T07:58:35.555Z,'Temperature = 32.00  Humidity = 56.00 Moisture =59.92
2023-03-20T07:58:36.271Z,'Temperature = 32.00  Humidity = 56.00 Moisture =59.53
2023-03-20T07:58:36.986Z,'Temperature = 32.00  Humidity = 56.00 Moisture =58.36
2023-03-20T07:58:37.705Z,'Temperature = 32.00  Humidity = 56.00 Moisture =58.06
2023-03-20T07:58:38.421Z,'Temperature = 32.00  Humidity = 56.00 Moisture =57.97
2023-03-20T07:58:39.14Z,'Temperature = 32.00  Humidity = 56.00 Moisture =57.58
2023-03-20T07:58:39.856Z,'Temperature = 32.00  Humidity = 56.00 Moisture =57.09
2023-03-20T07:58:40.575Z,'Temperature = 32.00  Humidity = 56.00 Moisture =57.18
2023-03-20T07:58:41.289Z,'Temperature = 32.00  Humidity = 56.00 Moisture =57.09
2023-03-20T07:58:42.006Z,'Temperature = 32.00  Humidity = 56.00 Moisture =56.99
2023-03-20T07:58:42.926Z,'Temperature = 32.00  Humidity = 56.00 Moisture =56.89
2023-03-20T07:58:43.646Z,'Temperature = 32.00  Humidity = 56.00 Moisture =56.21
2023-03-20T07:58:44.362Z,'Temperature = 32.00  Humidity = 56.00 Moisture =56.11
2023-03-20T07:58:45.078Z,'Temperature = 32.00  Humidity = 56.00 Moisture =56.01
2023-03-20T07:58:45.793Z,'Temperature = 32.00  Humidity = 56.00 Moisture =55.82
2023-03-20T07:58:46.513Z,'Temperature = 32.00  Humidity = 56.00 Moisture =53.96
2023-03-20T07:58:47.229Z,'Temperature = 32.00  Humidity = 56.00 Moisture =-0.10
