time,value
2023-04-05T09:47:51.028Z,63
2023-04-05T01:55:23.439Z,64
2023-04-05T03:48:30.862Z,63
2023-04-05T06:23:50.322Z,64
2023-04-05T09:33:43.62Z,65
2023-04-06T05:50:00.597Z,68
2023-04-06T10:20:02.954Z,70
2023-04-06T1:54:02.954Z,71
2023-04-06T3:59:02.954Z,72
2023-04-06T8:39:02.957Z,74
2023-04-07T01:50:16.132Z,73
2023-04-07T10:10:02.964Z,72
2023-04-07T2:16:02.957Z,71
2023-04-07T5:20:02.622Z,70
2023-04-07T9:13:02.098Z,69
2023-04-08T4:45:37.328Z,63
2023-04-08T9:56:40.02Z,56
2023-04-08T12:11:22.57Z,49
2023-04-08T05:16:37.702Z,46
2023-04-08T11:59:46.852Z,42
2023-04-09T08:40:49.104Z,41
2023-04-09T01:51:20.24Z,39
2023-04-09T04:32:10.753Z,37
2023-04-09T07:51:21.57Z,39
2023-04-09T10:11:23.564Z,42
2023-04-10T05:51:28.178Z,43
2023-04-10T09:22:33.292Z,44
2023-04-10T01:48:38.464Z,45
2023-04-10T04:26:43.133Z,46
2023-04-10T07:43:50.958Z,47
2023-04-11T01:28:53.72Z,48
2023-04-11T05:52:03.246Z,49
2023-04-11T10:11:10.308Z,50
2023-04-11T03:55:17.404Z,51
2023-04-11T09:25:21.917Z,52
2023-04-12T07:22:28.639Z,53
2023-04-12T11:34:35.911Z,54
2023-04-12T02:43:43.283Z,55
2023-04-12T07:52:50.381Z,56
2023-04-12T010:34:05.249Z,57
2023-04-13T01:53:17.586Z,58
2023-04-13T06:45:22.094Z,59
2023-04-13T09:44:16.975Z,13
2023-04-13T01:59:17.697Z,15
2023-04-13T07:14:22.507Z,16
2023-04-14T04:51:27.115Z,17
2023-04-14T10:34:32.291Z,18
2023-04-14T03:26:36.975Z,19
2023-04-14T08:46:39.711Z,20
2023-04-14T11:22:42.063Z,21
2023-04-15T04:14:44.267Z,22
2023-04-15T09:56:46.776Z,23
2023-04-15T01:36:49.131Z,24
2023-04-15T05:24:51.331Z,26
2023-04-15T10:54:57.323Z,27
2023-04-16T03:13:58.965Z,29
2023-04-16T09:28:04.084Z,30
2023-04-16T01:35:09.051Z,31
2023-04-16T06:42:12.479Z,32
2023-04-16T11:35:13.502Z,33
2023-04-17T07:19:16.167Z,34
2023-04-17T10:45:18.521Z,35
2023-04-17T01:55:28.454Z,36
2023-04-17T04:38:29.188Z,37
2023-04-17T08:57:31.947Z,38
2023-04-18T01:11:33.984Z,39
2023-04-18T09:56:36.289Z,40
2023-04-18T12:41.047Z,41
2023-04-18T01:55:45.911Z,42
2023-04-18T01:55:50.879Z,43
2023-04-19T01:55:52.878Z,44
2023-04-19T01:55:57.843Z,45
2023-04-19T01:56:02.656Z,46
2023-04-19T01:56:07.979Z,47
2023-04-19T01:56:12.999Z,48
2023-04-20T01:56:17.914Z,49
2023-04-20T01:56:22.418Z,50
2023-04-20T01:56:24.878Z,51
2023-04-20T01:56:31.839Z,52
2023-04-20T01:56:36.612Z,53
2023-04-21T01:56:41.535Z,54
2023-04-21T01:56:48.638Z,55
2023-04-21T01:56:53.175Z,56
2023-04-21T01:57:00.379Z,57
2023-04-21T01:57:05.523Z,58
2023-04-22T01:57:10.856Z,59
2023-04-22T01:57:22.429Z,60
2023-04-22T01:57:33.539Z,61
2023-04-22T01:57:43.114Z,62
2023-04-22T01:58:01.544Z,63
2023-04-23T01:58:22.127Z,64
2023-04-23T01:59:34.933Z,67
2023-04-23T02:00:36.481Z,66
2023-04-23T02:00:45.492Z,67
2023-04-23T02:00:59.262Z,68
2023-04-24T02:02:12.53Z,70
2023-04-24T02:02:14.631Z,71
2023-04-24T02:02:19.55Z,72
2023-04-24T02:02:24.107Z,73
